record,fold,consensus_operator,fold_operator,value
whole_dictionary,1,,,0.9979867373430101
whole_dictionary,2,,,0.9977812030253591
whole_dictionary,3,,,0.9958856909701764
whole_dictionary,4,,,0.9987531053310933
whole_dictionary,5,,,0.998608028201681
whole_dictionary,6,,,0.9986205623840374
whole_dictionary,7,,,0.9986654366802167
whole_dictionary,8,,,0.9986119265807712
whole_dictionary,9,,,0.9966928411701091
whole_dictionary,10,,,0.9987542873379543
whole_dictionary,11,,,0.9989468107256496
whole_dictionary,12,,,0.9992436866550206
whole_dictionary,13,,,0.999361514718399
whole_dictionary,14,,,0.9991839165892831
whole_dictionary,15,,,0.9989608952574863
whole_dictionary,16,,,0.9988999598430718
whole_dictionary,17,,,0.9984948044991435
whole_dictionary,18,,,0.9984935027120531
whole_dictionary,19,,,0.9962895581956414
whole_dictionary,20,,,0.9977482835007739
whole_dictionary,21,,,0.9990184822596497
whole_dictionary,22,,,0.99892548716291
whole_dictionary,23,,,0.9641784491935036
whole_dictionary,24,,,0.9754544642981658
whole_dictionary,25,,,0.9654470496845379
whole_dictionary,26,,,0.9982113874798779
whole_dictionary,27,,,0.9980304695255409
whole_dictionary,28,,,0.997964765021007
whole_dictionary,29,,,0.9984468240149295
whole_dictionary,30,,,0.9973268130899825
same_slot,1,1,1,0.9982159694493292
same_slot,1,2,2,0.9960395478690796
same_slot,1,3,3,0.9997569243696706
same_slot,1,4,4,0.9997585600121962
same_slot,1,5,5,0.9996540404216068
same_slot,1,6,6,0.9891294577831241
same_slot,1,7,7,0.9955992234813518
same_slot,1,8,8,0.9986903236105789
same_slot,1,9,9,0.9927961711202632
same_slot,1,10,10,0.9951495206338531
same_slot,1,11,11,0.9971804776684366
same_slot,1,12,12,0.9983242522815905
same_slot,1,13,13,0.998762598357562
same_slot,1,14,14,0.9996507304153099
same_slot,1,15,15,0.9987231319056673
same_slot,2,1,1,0.9981922347943031
same_slot,2,2,2,0.9958861337261625
same_slot,2,3,3,0.999750971561828
same_slot,2,4,4,0.9996870748199318
same_slot,2,5,5,0.999639024454771
same_slot,2,6,6,0.9883079050682897
same_slot,2,7,7,0.9953625750266707
same_slot,2,8,8,0.9986080913192972
same_slot,2,9,9,0.9908065286657366
same_slot,2,10,10,0.9957061536940585
same_slot,2,11,11,0.9979282381956404
same_slot,2,12,12,0.9980675655318318
same_slot,2,13,13,0.9985087515218716
same_slot,2,14,14,0.999613145661573
same_slot,2,15,15,0.9983946469828003
same_slot,3,1,1,0.998531822855914
same_slot,3,2,2,0.9971072029826046
same_slot,3,3,3,0.9997589211717958
same_slot,3,4,4,0.9995792651886607
same_slot,3,5,5,0.999436288110625
same_slot,3,6,6,0.9891100523304136
same_slot,3,7,7,0.9956996890112784
same_slot,3,8,8,0.9869278959385599
same_slot,3,9,9,0.993670960490958
same_slot,3,10,10,0.9953333112859687
same_slot,3,11,11,0.9956792367485636
same_slot,3,12,12,0.9934446921334473
same_slot,3,13,13,0.9988621788458665
same_slot,3,14,14,0.9994470264363603
same_slot,3,15,15,0.9978906839653592
same_slot,4,1,1,0.9989562564472771
same_slot,4,2,2,0.9970343006524084
same_slot,4,3,3,0.999852707141772
same_slot,4,4,4,0.9997474788142958
same_slot,4,5,5,0.9998009869869939
same_slot,4,6,6,0.9905456149621756
same_slot,4,7,7,0.9966948565615726
same_slot,4,8,8,0.9993143094553072
same_slot,4,9,9,0.9934752869688691
same_slot,4,10,10,0.9964389096643168
same_slot,4,11,11,0.9983029567554835
same_slot,4,12,12,0.9996874934894072
same_slot,4,13,13,0.9998085970540617
same_slot,4,14,14,0.9997878327061448
same_slot,4,15,15,0.9991661623028686
same_slot,5,1,1,0.9981252794387909
same_slot,5,2,2,0.9973529615864029
same_slot,5,3,3,0.9999030874738144
same_slot,5,4,4,0.9998299248199507
same_slot,5,5,5,0.9995754432560306
same_slot,5,6,6,0.9920994092592678
same_slot,5,7,7,0.9970480880700089
same_slot,5,8,8,0.998818884213328
same_slot,5,9,9,0.9971596324803912
same_slot,5,10,10,0.9961840166677525
same_slot,5,11,11,0.9986086691083943
same_slot,5,12,12,0.999000638908919
same_slot,5,13,13,0.999420901450942
same_slot,5,14,14,0.9994664243597357
same_slot,5,15,15,0.9985390083402926
same_slot,6,1,1,0.9987305975405926
same_slot,6,2,2,0.9969952777222184
same_slot,6,3,3,0.9997362875682324
same_slot,6,4,4,0.9996087901397884
same_slot,6,5,5,0.9997616883997393
same_slot,6,6,6,0.9895037224356262
same_slot,6,7,7,0.996465123513203
same_slot,6,8,8,0.9990654376335812
same_slot,6,9,9,0.993066616073343
same_slot,6,10,10,0.9959855910486832
same_slot,6,11,11,0.9985136763162374
same_slot,6,12,12,0.9997609675093343
same_slot,6,13,13,0.9997361150287059
same_slot,6,14,14,0.9997109270011976
same_slot,6,15,15,0.9990778870523628
same_slot,7,1,1,0.9984617084844744
same_slot,7,2,2,0.997088184077886
same_slot,7,3,3,0.9998549351246214
same_slot,7,4,4,0.9997705728274009
same_slot,7,5,5,0.9996854624861994
same_slot,7,6,6,0.9903882361796512
same_slot,7,7,7,0.996623105203185
same_slot,7,8,8,0.9993656809405138
same_slot,7,9,9,0.9939697658070792
same_slot,7,10,10,0.9958762194949978
same_slot,7,11,11,0.9988158705720012
same_slot,7,12,12,0.9996771326644805
same_slot,7,13,13,0.9996997851166204
same_slot,7,14,14,0.9996645888241018
same_slot,7,15,15,0.9990661247845449
same_slot,8,1,1,0.9984724276788168
same_slot,8,2,2,0.9968672777664797
same_slot,8,3,3,0.9998657052314933
same_slot,8,4,4,0.9997886390192643
same_slot,8,5,5,0.999665590528693
same_slot,8,6,6,0.9903215733858942
same_slot,8,7,7,0.996376330536209
same_slot,8,8,8,0.9992568907018344
same_slot,8,9,9,0.994656818113138
same_slot,8,10,10,0.9957507328447897
same_slot,8,11,11,0.9988200754545289
same_slot,8,12,12,0.9996716143868527
same_slot,8,13,13,0.9996671002423883
same_slot,8,14,14,0.9996273494526707
same_slot,8,15,15,0.9989568399546725
same_slot,9,1,1,0.9984299734987295
same_slot,9,2,2,0.9954358881264894
same_slot,9,3,3,0.9997911449967778
same_slot,9,4,4,0.9997408776596278
same_slot,9,5,5,0.9996013248719169
same_slot,9,6,6,0.9890098207753416
same_slot,9,7,7,0.9932585676508238
same_slot,9,8,8,0.998844746684375
same_slot,9,9,9,0.9951030156872953
same_slot,9,10,10,0.9932475369208703
same_slot,9,11,11,0.9973879703839761
same_slot,9,12,12,0.9994921354784676
same_slot,9,13,13,0.9991986283849388
same_slot,9,14,14,0.9995399035904816
same_slot,9,15,15,0.9836991240198263
same_slot,10,1,1,0.9996937720446575
same_slot,10,2,2,0.9971324641716396
same_slot,10,3,3,0.9998961029794381
same_slot,10,4,4,0.9997954015808191
same_slot,10,5,5,0.999871010976204
same_slot,10,6,6,0.9920281793768507
same_slot,10,7,7,0.9970075921578692
same_slot,10,8,8,0.9998414806908377
same_slot,10,9,9,0.9942433644065021
same_slot,10,10,10,0.993868374777912
same_slot,10,11,11,0.9952664836544494
same_slot,10,12,12,0.9998186390348608
same_slot,10,13,13,0.999820794801368
same_slot,10,14,14,0.9999064191159628
same_slot,10,15,15,0.9996790327647597
same_slot,11,1,1,0.999586138713038
same_slot,11,2,2,0.9974742864848315
same_slot,11,3,3,0.999917405081242
same_slot,11,4,4,0.9998344184935058
same_slot,11,5,5,0.9997650858129425
same_slot,11,6,6,0.9943069890347631
same_slot,11,7,7,0.9981027159600137
same_slot,11,8,8,0.9997687327628393
same_slot,11,9,9,0.9967787580512006
same_slot,11,10,10,0.9956193107146577
same_slot,11,11,11,0.9963015523025317
same_slot,11,12,12,0.9997875760509327
same_slot,11,13,13,0.9998041613525266
same_slot,11,14,14,0.9997902581280043
same_slot,11,15,15,0.9992605752905899
same_slot,12,1,1,0.9995856552197782
same_slot,12,2,2,0.9983013394082635
same_slot,12,3,3,0.9999266185054376
same_slot,12,4,4,0.9998827770242044
same_slot,12,5,5,0.9997661479548959
same_slot,12,6,6,0.994203138786413
same_slot,12,7,7,0.9985399073185987
same_slot,12,8,8,0.9998653158448524
same_slot,12,9,9,0.9986982591307624
same_slot,12,10,10,0.9960637056433763
same_slot,12,11,11,0.9991269330684385
same_slot,12,12,12,0.9997205164726906
same_slot,12,13,13,0.9996865817462656
same_slot,12,14,14,0.9997339895837926
same_slot,12,15,15,0.9994135069133822
same_slot,13,1,1,0.9997457361194165
same_slot,13,2,2,0.9986464041991725
same_slot,13,3,3,0.9999135864548456
same_slot,13,4,4,0.9998943567602228
same_slot,13,5,5,0.9998257742564011
same_slot,13,6,6,0.9947781427017779
same_slot,13,7,7,0.9987705048241927
same_slot,13,8,8,0.9998821375463465
same_slot,13,9,9,0.9991975913905096
same_slot,13,10,10,0.9958886451763109
same_slot,13,11,11,0.9993792490133939
same_slot,13,12,12,0.9997368543277165
same_slot,13,13,13,0.9998284889818722
same_slot,13,14,14,0.9998496335447051
same_slot,13,15,15,0.9995621518888299
same_slot,14,1,1,0.9995145259638458
same_slot,14,2,2,0.9989826159550543
same_slot,14,3,3,0.99992508320676
same_slot,14,4,4,0.9998943975242572
same_slot,14,5,5,0.9998105411745202
same_slot,14,6,6,0.9963298219437368
same_slot,14,7,7,0.9990166954277053
same_slot,14,8,8,0.9996700583914989
same_slot,14,9,9,0.99738118331326
same_slot,14,10,10,0.9950562351904458
same_slot,14,11,11,0.9988399836851777
same_slot,14,12,12,0.9994794580042566
same_slot,14,13,13,0.999844926505588
same_slot,14,14,14,0.9999129271410337
same_slot,14,15,15,0.9995341358708412
same_slot,15,1,1,0.999687905038388
same_slot,15,2,2,0.9983919287438874
same_slot,15,3,3,0.999951445617641
same_slot,15,4,4,0.9998825161003297
same_slot,15,5,5,0.9998385482363353
same_slot,15,6,6,0.9951899901571881
same_slot,15,7,7,0.9988876506158838
same_slot,15,8,8,0.9997640943102545
same_slot,15,9,9,0.9946309522482456
same_slot,15,10,10,0.9951549377789303
same_slot,15,11,11,0.9993757496733654
same_slot,15,12,12,0.9997227819521732
same_slot,15,13,13,0.9998830794792435
same_slot,15,14,14,0.999902604097505
same_slot,15,15,15,0.9995247749233579
same_slot,16,1,1,0.9993935050081117
same_slot,16,2,2,0.9986821181293568
same_slot,16,3,3,0.9999506840739043
same_slot,16,4,4,0.999897490212026
same_slot,16,5,5,0.9997835897015398
same_slot,16,6,6,0.9952408333352806
same_slot,16,7,7,0.9988780243843457
same_slot,16,8,8,0.9995238125870943
