phase	strength	phase_omega_deg_s	rank	syllable	selectivity_z	syllable_omega_deg_s	n_onsets
op14	forward baseline	2.774883	1	46	6.663534	-5.557588	770
op14	forward baseline	2.774883	2	6	6.534056	-24.146370	1310
op14	forward baseline	2.774883	3	78	5.825067	38.918324	1021
op2$+$	strong turn	-54.771569	1	0	16.208987	-70.917530	1259
op2$+$	strong turn	-54.771569	2	90	9.930534	-26.781872	85
op2$+$	strong turn	-54.771569	3	42	8.874495	-48.048518	1768
op2$-$	strong turn	52.849661	1	3	10.722750	31.463932	15
op2$-$	strong turn	52.849661	2	21	10.707772	64.941987	1283
op2$-$	strong turn	52.849661	3	99	8.986093	1.303026	229
op6$+$	weak turn	13.497703	1	70	9.638199	-7.905535	2654
op6$+$	weak turn	13.497703	2	4	5.613152	43.188633	160
op6$+$	weak turn	13.497703	3	77	4.908939	-0.739736	2684
op6$-$	weak turn	-24.248477	1	28	12.729874	-8.336915	1202
op6$-$	weak turn	-24.248477	2	42	11.002017	-48.048518	1768
op6$-$	weak turn	-24.248477	3	15	6.933419	-24.391505	89
